2020 January 03

Station,P,Polarity,P arrival,S,S arrival,Amplitude,Time Duration,Type,Freq
LUBP,eP,c,000922.16,eS,000934.22,5063,37,L,

SFCP,eP,c,001255.50,,,,,T,

OCLP,eP,d,003351.20,eS,003358.64,-1267,38,L,

OTRP,eP,c,012030.36,eS,012039.38,,35,L,

CICP,eP,d,012104.88,eS,012112.06,3308,31,L,

BTTP,eP,c,012940.20,eS,012943.08,1510,14,sL,
OTRP,eP,,013004.10,eS,013007.62,,14,sL,

GLSP,eP,d,013546.02,eS,013551.28,2401,29,sL,

BTTP,eP,,013932.45,,,,,T,

SJMP,eP,c,015535.83,eS,015540.67,,21,sL,

BUKP,eP,d,021416.18,eS,021420.53,8126,96,L,
PICP,eP,c,021424.25,eS,021433.85,6696,105,L,
BLNP,eP,d,021430.41,eS,021446.70,-730,86,L,
PAGZ,eP,d,021439.07,eS,021500.98,-1539,83,L,

ABPP,eP,d,024459.33,eS,024515.39,,60,L,

GLSP,eP,d,033951.99,eS,033957.86,,25,sL,

PICP,eP,d,042157.78,eS,042203.42,7088,52,L,

DDMP,eP,c,042950.28,eS,042959.41,-12405,81,L,
PICP,eP,d,042953.27,eS,043004.74,-3573,109,L,
BUKP,eP,d,043003.13,eS,043021.09,-328,95,L,

RTBP,eP,c,043854.11,,,,,T,

TABP,eP,d,044207.08,eS,044208.96,3782,14,sL,

GNOP,eP,d,044305.66,,,,,T,

GLSP,eP,d,044527.29,eS,044532.50,,29,sL,

CNPS,eP,d,044729.40,eS,044742.78,309,47,L,

TSSP,eP,d,051930.02,eS,051936.10,,40,L,

IBZP,eP,d,053551.40,eS,053558.68,5102,68,L,
ABPP,eP,c,053559.01,eS,053611.58,,47,L,

BTTP,eP,d,055850.63,iS,055853.90,2108,25,sL,

GNOP,eP,d,060926.73,,,,,T,

BUKP,eP,c,061331.92,iS,061336.54,5509,111,L,
PICP,eP,d,061339.80,eS,061349.52,12761,106,L,
BLNP,eP,c,061346.44,eS,061401.85,-1392,79,L,
PAGZ,eP,d,061354.70,eS,061417.15,-2308,75,L,

OTRP,eP,c,062226.29,eS,062232.15,139,21,sL,

BTTP,eP,c,062604.33,eS,062606.18,,9,sL,

GLSP,eP,d,062737.32,eS,062743.49,,32,L,

LDIP,iP,d,064845.61,eS,064856.20,5388,59,L,
GLSP,eP,c,064850.36,eS,064903.87,,51,L,

OTRP,eP,c,074657.61,eS,074710.25,72,37,L,

MSLP,eP,c,082234.03,,,,,T,

LUBP,eP,c,084519.06,eS,084531.36,-26626,63,L,
MACP,eP,c,084519.94,eS,084533.84,-8735,54,L,
LBLP,iP,c,084521.58,eS,084537.32,,68,L,
ABPP,eP,d,084524.76,eS,084541.80,-5676,67,L,
SJMP,eP,d,084527.03,eS,084545.88,878,66,L,
BUSP,eP,d,084532.02,eS,084554.14,153,78,L,

SJMP,eP,d,084811.36,eS,084820.80,,39,L,

CICP,eP,c,085107.44,eS,085115.58,,34,L,

LUBP,eP,c,085810.05,,,,,T,

DDMP,eP,c,090329.00,,,,,T,

PICP,eP,d,092659.96,eS,092707.38,,117,L,
BUKP,eP,d,092711.78,eS,092725.95,-133,70,L,

ABPP,eP,c,094118.21,eS,094130.53,,46,L,

SJMP,eP,d,101236.83,eS,101241.96,515,37,L,

BTTP,eP,d,103036.06,eS,103039.36,-5992,34,L,

PICP,eP,d,104517.35,eS,104527.28,-7122,152,L,
DDMP,eP,d,104517.78,eS,104528.76,13835,63,L,
BUKP,eP,d,104526.63,eS,104543.33,471,90,L,

CNOP,eP,c,105427.32,eS,105431.54,-5968,35,L,

CICP,eP,c,111835.27,eS,111842.98,,33,L,

MSLP,eP,c,114240.05,,,,,T,

PACP,eP,d,114810.84,eS,114853.57,-2329,112,L,

OTRP,eP,c,115933.74,eS,115945.49,,34,L,
DDMP,eP,d,115959.09,eS,120010.12,6447,68,L,

PACP,eP,c,120116.08,eS,120127.99,,33,L,

OTRP,eP,c,121035.14,eS,121041.07,,34,L,
PICP,eP,d,121042.01,eS,121045.60,,23,sL,

BUKP,eP,c,121431.08,,,,,T,

DDMP,eP,c,123829.86,eS,123846.90,-18152,118,L,
MATI,eP,c,123840.43,eS,123906.84,-11394,112,L,
