2019 December 28,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,
TGY,eP,d,165740.49,eS,165755.24,1769.00,,L,,,,,,,,,,,
LQP,eP,c,034756.35,,,160.00,78.50,L,,,,,,,,,,,
LQP,eP,c,084041.88,,,157.00,83.78,L,,,,,,,,,,,
LQP,eP,c,165744.37,eS,165800.02,331.00,105.00,L,,,,,,,,,,,
LQP,eP,c,182906.82,,,143.00,,T,,,,,,,,,,,
LLP,iP,c,020057.48,eS,020158.09,402.2,175.3,L,,,,,,,,,,,
LLP,eP,d,083937.22,eS,074046.18,480.2,353.75,L,,,,,,,,,,,
MMP,iP,d,134351.68,iS,134354.24,6370.0,43.0,L,,,,,,,,,,,
PLP,eP,d,020104.00,eS,020211.37,,249.00,L,,,,,,,,,,,
PLP,eP,d,023154.34,eS,023253.38,,135.00,L,,,,,,,,,,,
PLP,eP,d,070130.96,eS,070143.81,,73.00,L,,,,,,,,,,,
PLP,eP,d,083944.60,eS,084045.16,,220.00,L,,,,,,,,,,,
PLP,eP,d,103139.16,eS,103154.36,,65.00,L,,,,,,,,,,,
PLP,eP,d,142035.50,eS,142044.43,,65.00,L,,,,,,,,,,,
PLP,eP,c,143428.87,eS,143437.76,,72.00,L,,,,,,,,,,,
PLP,eP,d,145748.27,,,,,T,,,,,,,,,,,
PLP,eP,c,150025.96,,,,,T,,,,,,,,,,,
PLP,eP,d,150232.42,,,,,T,,,,,,,,,,,
PLP,eP,c,161424.40,eS,161446.18,,100.00,L,,,,,,,,,,,
PLP,eP,c,182814.67,,,,,T,,,,,,,,,,,
PLP,eP,c,185014.93,eS,185027.46,,70.00,L,,,,,,,,,,,
PLP,eP,c,201331.17,eS,201340.81,,58.00,L,,,,,,,,,,,
PLP,eP,c,203945.24,eS,203954.77,,75.00,L,,,,,,,,,,,
PLP,eP,c,230814.47,eS,230852.40,,136.00,L,,,,,,,,,,,
PLP,eP,c,232734.89,eS,232746.78,,68.00,L,,,,,,,,,,,
DMP,iP,c,015258.77,eS,015306.83,,107.00,L,,,,,,,,,,,
DMP,eP,c,020009.09,eS,020038.77,,213.00,L,,,,,,,,,,,
DMP,eP,c,023104.61,eS,023125.35,,94.00,L,,,,,,,,,,,
DMP,iP,d,032712.23,iS,032720.87,,93.00,L,,,,,,,,,,,
DMP,iP,c,032841.35,eS,032849.99,,45.00,L,,,,,,,,,,,
