2019 October 16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,,,,,,,,
KCP,iP,c,000827.07,iS,000832.83,,63.50,L,,,,,,,,,,,,,,,,,,
SNP,iP,d,001910.35,iS,001917.95,623.0,33.0,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,003828.64,eS,003837.75,,47.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,005900.49,iS,005933.04,81.47,141.51,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,005904.36,iS,005911.53,,112.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,005929.80,,,,,sL,,,,,,,,,,,,,,,,,,
CGP,eP,,005951.78,,,,,sL,,,,,,,,,,,,,,,,,,
BIP,iP,c,012325.80,eS,012334.79,,29.00,L,,,,,,,,,,,,,,,,,,
SCP,eP,c,012840.36,eS,012910.84,117846.00,58.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,022513.01,iS,022523.51,,56.00,L,,,,,,,,,,,,,,,,,,
TBP,eP,,035101.02,eS,035105.07,207.0,120.0,L,,,,,,,,,,,,,,,,,,
PGP,iP,d,054903.61,iS,054917.83,,68,L,,,,,,,,,,,,,,,,,,
TGY,eP,d,054914.35,,,,,sL,,,,,,,,,,,,,,,,,,
LQP,eP,d,054920.84,,,,,sL,,,,,,,,,,,,,,,,,,
PGP,eP,D,065812.69,eS,065825.23,,30,L,,,,,,,,,,,,,,,,,,
LQP,eP,d,065815.24,,,,,sL,,,,,,,,,,,,,,,,,,
BIP,iP,d,072537.51,iS,072543.94,,34.00,L,,,,,,,,,,,,,,,,,,
PGP,eP,d,073544.98,eS,073558.17,,43,L,,,,,,,,,,,,,,,,,,
SIP,eP,c,081425.78,eS,081432.80,1218,1507,L,,,,,,,,,,,,,,,,,,
TBP,eP,,082220.18,iS,082223.97,512.0,180.0,L,,,,,,,,,,,,,,,,,,
