STATION LATITUDE LONGITUDE ELEVATION    LOCATION
ABP     14.741   120.451   090          Barangay Bangkal,                ABUCAY, BATAAN (November 30, 2015)
ABR     17.650   120.712   122          Barangay Poblacion,              DOLORES, ABRA (Sept. 15, 2003) 
AGI     17.014   121.313   932          Barangay Damag,                  AGUINALDO, IFUGAO
AIQ     14.105   122.021   012          Barangay Camagong,               ALABAT, QUEZON
ANV     16.313   121.042   422          Barangay Darapidap,              ARITAO, NUEVA VIZCAYA
APY     17.862   121.243   211          Barangay Guinamgaman,            CONNER, APAYAO
AUQ     13.321   122.675   070          Barangay Poblacion,              SAN ANDRES, QUEZON
BAL     15.754   121.582   110          Ermita Hill,                     BALER, AURORA (Sept. 15, 2003)
BAT     08.799   117.801   104          Barangay Tubtub,                 BROOKE'S POINT, Palawan (Oct. 12, 2003)
BBP     20.438   121.967   064          Barangay Kaychanarianan,         BASCO, BATANES -(ok, (verified 073002, DSS)
BCP     16.387   120.569  1500          Barangay Dontogan,               CITY OF BAGUIO -(Dairy Farm, Sto. Tomas - verified 073002, DSS)
BES     11.601   125.438   080          Barangay Alang-alang,            CITY OF BORONGAN, EASTERN SAMAR
BIM     12.894   123.221   060
BIP     08.184   126.361   200          Barangay Mangagoy,               CITY OF BISLIG, SURIGAO DEL SUR -(verified 073002, DSS)
BLN     08.153   124.032   238          Barangay Pagayawan,              BACOLOD, LANAO DEL NORTE
BOA     13.458   121.845   072          Barangay Tanza,                  BOAC, MARINDUQUE
BOL     16.379   119.915   080          Barangay Luciente I,             BOLINAO, PANGASINAN
BTT     05.024   119.766   065          Barangay Lamion,                 BONGAO, TAWI-TAWI
BUK     07.878   125.064   530          Musuan Peak,                     CITY OF VALENCIA, BUKIDNON
BUS     12.003   120.200   112          Barangay 5,                      CORON, PALAWAN
BUT     08.970   125.620   115          Barangay Ampayon,                CITY OF BUTUAN
CAA     16.209   122.038   010          Barangay Bianuan,                CASIGURAN, AURORA
CAD     10.924   123.293   084          Barangay Tinampa-an,             CITY OF CADIZ, NEGROS OCCIDENTAL
CAQ     16.526   121.511   233          Barangay San Marcos,             CABARROGUIS, QUIRINO
CAT     15.629   120.354   074          Barangay Bacsay,                 CAMILING, TARLAC (2021 October 06, AAM)
CAU     16.894   121.830   112          Barangay Sinippil,               CITY OF CAUAYAN, ISABELA (sept. 15, 2003)
CDO     07.784   126.438   010          Barangay San Miguel,             CATEEL, DAVAO ORIENTAL
