"longitude","latitude","   Population (2007)= ","   Households (2005)= ","   Town name= ","     Province= ","     No. of Barangays= ","   Year Town Created=","   Contact Nos=","Elevation: ","Photo: ","      Risk Data="
120.61,17.59," 46179"," 7971","BANGUED","ABRA","31","1598","(074)7527647 (PESO ofc),(074) 752-8530, 752-8092 (Diocese)"," "," ","1 govt rural health unit,3 private hospitals"
120.836,17.40126," 3349"," 639","BOLINEY","ABRA","8",""," "," "," "," 1 govt health center,1 govt rural health unit,4 RCBC bridges,30 schools,1 post office, 1 telephone station,107 electric supply consumers,6 barangay spring water system"
120.718,17.54," 16266"," 2943","BUCAY","ABRA","21",""," "," "," "," 1 govt municipal hospital,1 govt rural health unit,1 RCBC and 1 timber bridge,47 school buildings,1 post offie,1 telegraph station,1639 electric power consumers"
120.861,17.449," 2227"," 357","BUCLOC","ABRA","4",""," "," "," "," 1 govt provincial hospital,3 barangay health stations,1 govt rural health unit,4 schools,220 electric power consumers,1post office,1 telephone station"
120.925,17.45," 1916"," 324","DAGUIOMAN","ABRA","4","","(074)7528509 (Tel.station) "," "," ","1 govt barangay health station,1 govt rural health unit,1 RCBC bridge,2 schools,1 post office,1 telephone station,160 electric power consumers,4 barangay spring water system "
120.65,17.698," 5411"," 749","DANGLAS","ABRA","",""," "," "," ","1 govt rural health unit"
120.708,17.65," 10787"," 2106","DOLORES","ABRA","",""," "," "," ","1 private hospital"
120.683,17.675," 14658"," 2534","LA PAZ","ABRA","",""," "," "," ","1 govt district hospital,1 rural health unit"
120.85,17.658," 3050"," 509","LACUB","ABRA","",""," "," "," ","1 govt rural health unit"
120.767,17.533," 13490"," 2354","LAGANGILANG","ABRA","",""," "," "," ","1 govt rural health unit "
120.692,17.725," 4134"," 796","LAGAYAN","ABRA","",""," "," "," ","1 govt rural health unit"
120.565,17.582," 3242"," 589","LANGIDEN","ABRA","",""," "," "," ","1 govt rural health unit"
120.833,17.608," 3990"," 723","LICUAN-BAAY (LICUAN)","ABRA","",""," "," "," ","1 govt rural health unit"
120.693,17.323," 6363"," 1138","LUBA","ABRA","",""," "," "," ","1 govt rural health unit"
120.993,17.567," 3354"," 707","MALIBCONG","ABRA","",""," "," "," ","1 govt rural health unit"
120.705,17.432," 10538"," 1871","MANABO","ABRA","",""," "," "," ","1 govt rural health unit"
120.65,17.567," 6443"," 1063","PEÑARRUBIA","ABRA","",""," "," "," ","1 govt rural health unit"
120.59,17.573," 11280"," 1875","PIDIGAN","ABRA","",""," "," "," ","1 govt rural health unit "
120.583,17.417," 9792"," 1775","PILAR","ABRA","",""," "," "," ","1 govt rural health unit"
120.762,17.455," 6370"," 1075","SAL-LAPADAN","ABRA","",""," "," "," ","1 govt rural health unit"
120.601,17.446," 4647"," 820","SAN ISIDRO","ABRA","",""," "," "," ","1 govt rural health unit"
120.742,17.683," 9714"," 1787","SAN JUAN","ABRA","",""," "," "," ","1 govt rural health unit"
120.5,17.542," 5341"," 946","SAN QUINTIN","ABRA","",""," "," "," ","1 govt rural health unit"
120.655,17.617," 13360"," 2439","TAYUM","ABRA","",""," "," "," ","1 govt rural health unit"
120.929,17.766," 4317"," 787","TINEG","ABRA","",""," "," "," ","1 govt rural health unit"
120.72,17.256," 5588"," 902","TUBO","ABRA","",""," "," "," ","1 govt rural health unit"
120.63,17.442," 5147"," 930","VILLAVICIOSA","ABRA","",""," "," "," ","1 govt rural health unit"
125.408,8.975," 53059"," 9384","BUENAVISTA","AGUSAN DEL NORTE","25",""," "," "," ","1 govt municipal health center"
125.52924,8.95244," 298378"," 50273","BUTUAN CITY","AGUSAN DEL NORTE","",""," "," "," ","2 govt hospitals,3 govt municipal health centers,4 private clinics"
125.5456,9.12218," 61564"," 10410","CABADBARAN","AGUSAN DEL NORTE","",""," "," "," ","1 govt district hospital,1 govt municipal health center,2 private clinics"
125.311000007629,8.96622439141411," 18116"," 3410","CARMEN","AGUSAN DEL NORTE","",""," "," "," ",""
125.51468,9.34367," 23052"," 3742","JABONGA","AGUSAN DEL NORTE","",""," "," "," ","1 govt municipal hospital,1 govt municipal health center"
125.572,9.457," 21426"," 2623","KITCHARAO","AGUSAN DEL NORTE","",""," "," "," ","1 govt district hospital,1 govt municipal health center"
125.607000011444,8.7814976309961," 25203"," 3811","LAS NIEVES","AGUSAN DEL NORTE","",""," "," "," ","1 govt municipal hospital,1 govt municipal health center"
125.519,9.023," 20930"," 3640","MAGALLANES","AGUSAN DEL NORTE","",""," "," "," ","1 govt municipal health center,2 private clinics"
125.338,8.987," 38096"," 7010","NASIPIT","AGUSAN DEL NORTE","",""," "," "," ","1 govt district hospital,1 govt municipal health center1 private clinic"
125.58714,9.05401," 14976"," 2511","REMEDIOS ROMUALDEZ","AGUSAN DEL NORTE","",""," "," "," ","1 govt municipal health center"
125.55727,9.26675," 18931"," 2651","SANTIAGO","AGUSAN DEL NORTE","",""," "," "," ","1 govt municipal health center"
125.538,9.18807," 18674"," 3336","TUBAY","AGUSAN DEL NORTE","",""," "," "," ","1 govt municipal health center"
125.75283,8.71482," 95032"," 17222","BAYUGAN CITY","AGUSAN DEL SUR","",""," "," "," ","1 govt community hospital,1 govt municipal health center 2 private hospitals"
